Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction_satisfied,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
1.0,0.0,1.0,0.0,0.0,1.0,0.0,40,602,3,4,2,158,147.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,20,109,4,1,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,53,696,5,4,5,2,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,26,1666,4,4,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,40,200,5,5,1,78,77.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,35,812,3,3,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,44,2178,5,5,4,46,54.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,55,770,5,5,3,34,40.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,44,2221,5,5,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,41,3875,5,5,5,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,42,106,4,4,3,0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,34,413,2,4,2,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,17,557,3,1,3,127,115.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,37,1249,5,4,5,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,43,1086,3,3,2,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,70,334,5,5,2,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,42,2226,4,4,5,9,9.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,7,627,5,5,5,0,6.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,70,447,4,5,5,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,50,1464,4,4,3,0,5.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,49,359,5,5,3,16,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,59,2639,4,4,3,90,80.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,41,253,2,2,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,53,265,4,4,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,39,719,4,4,3,47,54.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,59,545,4,4,3,11,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,19,632,2,4,2,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,36,3918,4,4,4,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,35,1488,4,4,5,44,38.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,28,89,3,5,3,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,53,912,2,2,3,4,5.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,41,544,5,5,5,3,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,20,1250,2,1,2,0,7.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,35,2475,4,4,4,1,18.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,22,255,4,2,4,13,4.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,47,813,3,3,3,2,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,29,2968,4,4,4,1,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,42,2306,3,3,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,27,1717,4,4,4,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,8,216,5,4,5,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,63,746,5,5,4,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,43,719,2,2,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,28,1197,5,4,5,19,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,30,2901,1,3,1,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,33,516,3,3,4,0,7.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,64,209,5,5,5,0,24.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,43,3172,4,5,5,7,3.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,10,213,2,5,2,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,56,547,4,5,4,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,31,3532,4,4,4,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,49,925,4,4,1,0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,42,476,3,3,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,37,3864,5,5,1,5,13.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,39,476,4,1,4,0,5.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,11,369,5,3,5,0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,62,140,4,4,5,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,51,3382,4,4,4,0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,50,677,2,3,2,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,32,2946,2,4,2,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,38,489,5,1,5,0,23.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,26,723,4,3,4,0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,30,164,3,3,3,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,52,308,1,3,1,54,40.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,18,73,4,3,4,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,34,920,4,5,4,9,0.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,7,427,2,4,2,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,43,337,4,4,3,25,33.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,52,2540,2,2,2,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,45,1798,5,5,3,4,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,57,1481,3,3,1,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,58,231,4,4,2,0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,16,546,1,4,1,0,10.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,36,896,4,3,4,4,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,63,3947,2,2,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,26,1506,3,3,3,13,13.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,68,1215,4,4,5,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,63,1208,1,4,5,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,46,1276,5,3,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,55,3040,3,3,1,4,16.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,42,2053,5,5,2,52,52.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,16,721,3,2,5,337,330.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,63,738,4,4,5,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,53,280,4,4,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,37,2012,2,2,3,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,28,862,5,1,5,10,7.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,52,2504,4,4,1,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,36,1548,2,2,2,11,19.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,53,325,3,3,3,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,48,577,1,1,1,0,28.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,50,207,3,3,4,0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,46,515,4,4,2,5,6.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,43,102,2,2,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,31,1975,5,3,5,63,66.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,49,187,3,3,2,0,9.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,43,3010,4,4,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,31,1448,3,1,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,32,1242,3,4,3,4,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,2355,2,3,2,12,45.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,42,1262,3,3,4,7,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,41,2618,2,2,1,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,22,507,2,3,2,0,4.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,12,1303,4,4,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,25,954,4,5,4,1,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,66,729,4,4,4,7,18.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,50,2568,4,4,5,24,12.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,39,1818,5,5,5,8,2.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,37,2370,3,3,3,1,0.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,21,1489,2,3,2,10,1.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,46,1608,5,5,3,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,59,589,4,4,3,27,11.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,54,731,5,5,2,18,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,38,3174,5,5,5,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,32,605,4,5,4,0,0.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,40,409,1,1,3,0,63.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,26,2329,4,5,4,22,5.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,23,2614,4,5,4,0,8.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,8,604,5,4,5,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,72,356,3,3,4,1,4.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,45,3813,4,4,3,0,2.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,31,86,4,1,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,56,787,1,3,1,77,93.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,16,265,4,3,4,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,58,304,3,3,1,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,55,3694,4,4,4,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,56,575,5,5,1,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,12,363,4,4,4,0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,48,1182,2,3,2,3,87.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,52,2673,5,5,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,47,552,4,4,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,24,541,5,4,5,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,40,689,4,5,4,179,181.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,24,406,5,2,5,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,39,1599,2,2,4,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,52,4817,4,4,4,45,16.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,38,397,4,2,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,25,793,5,5,5,7,23.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,42,393,4,4,3,11,1.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,54,2616,4,4,4,0,7.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,38,657,2,4,2,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,11,440,1,5,1,12,4.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,30,909,3,3,3,54,80.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,60,1880,5,5,3,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,8,813,5,4,5,0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,60,510,4,4,4,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,47,1235,5,5,3,0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,23,436,4,5,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,33,861,3,3,3,15,4.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,47,965,1,4,1,18,16.0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,58,1609,5,5,5,2,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,58,2532,4,4,3,0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,51,474,3,3,2,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,7,641,1,4,1,0,4.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,43,2203,4,4,3,0,1.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,20,846,2,4,2,1,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,49,1503,5,5,3,16,21.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,37,447,5,3,5,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,46,1096,5,3,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,53,153,2,1,4,35,29.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,51,312,1,1,3,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,69,338,4,4,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,50,2347,5,5,4,0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,58,447,5,1,5,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,28,488,4,4,4,28,27.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,48,867,3,3,4,0,2.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,45,223,5,2,4,18,10.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,58,409,4,4,3,11,25.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,52,1734,4,4,4,2,0.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,28,101,2,4,2,0,3.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,44,403,4,3,4,15,27.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,16,697,2,3,2,0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,10,102,3,3,3,33,23.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,24,359,1,4,1,0,9.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,28,436,1,5,1,7,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,40,813,1,5,1,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,57,3032,5,5,3,18,18.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,47,1258,4,4,5,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,22,2072,3,5,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,48,590,5,5,3,61,53.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,38,296,4,4,2,8,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,51,2106,2,2,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,12,281,2,5,2,74,91.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,46,425,4,4,4,0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,45,425,4,4,3,8,13.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,44,3183,3,3,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,46,3223,4,4,3,3,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,57,788,4,4,1,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,65,967,3,5,3,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,26,406,2,5,2,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,30,3784,1,4,3,50,55.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,60,349,1,1,2,13,19.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,41,2438,3,3,3,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,57,770,4,4,4,17,37.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,31,1048,4,1,4,16,68.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,26,666,1,2,1,215,232.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,30,2560,5,1,5,48,47.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,27,599,3,5,3,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,60,677,4,3,4,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,56,3591,4,4,5,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,55,627,3,5,3,0,19.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,46,808,2,2,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,51,3909,4,4,5,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,66,550,3,3,3,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,64,239,1,5,1,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,69,919,4,5,4,5,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,32,315,5,4,5,5,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,34,1564,4,4,4,9,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,36,160,2,1,4,0,6.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,44,190,4,4,1,0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,25,705,3,3,3,0,12.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,26,2253,3,3,3,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,55,862,1,4,1,4,7.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,40,590,5,5,3,12,9.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,41,1533,3,3,5,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,52,109,4,4,2,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,33,547,4,4,4,0,5.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,18,946,5,3,5,0,17.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,39,231,2,2,2,0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,54,1635,2,5,2,20,4.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,56,2279,3,3,2,0,14.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,31,2254,4,5,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,60,3998,5,5,4,40,37.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,26,409,4,2,4,12,39.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,24,239,4,5,4,32,20.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,14,1020,4,3,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,53,1660,5,5,5,1,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,39,431,4,4,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,50,2085,5,4,1,63,65.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,62,314,5,3,5,1,5.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,52,2917,3,4,5,15,32.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,46,285,2,5,2,9,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,31,693,4,4,4,0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,36,479,4,3,4,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,24,2809,5,1,5,17,14.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,52,205,5,5,4,0,3.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,56,227,5,5,1,7,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,32,2432,3,1,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,43,2256,1,1,2,19,6.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,34,2750,4,4,2,0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,43,2560,5,5,3,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,57,337,1,4,1,36,24.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,40,226,5,5,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,33,2086,5,5,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,52,3656,4,4,3,8,41.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,11,557,4,2,4,0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,38,802,3,3,2,18,23.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,42,1592,3,3,1,29,19.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,55,1919,4,3,4,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,38,342,4,4,5,13,4.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,50,1504,5,5,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,65,760,1,2,1,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,69,106,2,5,2,27,25.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,37,1891,4,4,5,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,31,3711,2,4,2,174,165.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,53,862,4,2,4,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,43,1874,2,2,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,55,925,1,4,1,67,58.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,34,196,5,2,5,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,63,282,1,1,1,55,45.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,38,481,1,1,4,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,60,1074,4,4,5,0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,60,163,3,4,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,38,3737,2,2,3,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,65,491,4,4,4,0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,39,192,4,3,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,22,541,2,5,2,0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,55,2254,4,3,4,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,60,1900,2,2,5,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,34,841,1,3,3,166,174.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,49,2799,5,5,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,62,432,2,4,2,1,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,52,2823,5,5,4,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,40,516,4,4,5,0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,38,366,5,1,5,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,39,451,2,2,2,5,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,22,395,4,3,4,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,26,153,5,4,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,56,469,5,5,3,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,19,926,2,3,2,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,22,3139,5,4,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,58,1973,5,5,5,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,32,861,4,5,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,35,1843,1,1,2,26,27.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,7,738,5,4,5,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,58,2790,4,4,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,46,143,2,1,3,11,10.0
